,careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,id
10,[BA],"[Beauty Craft,Dave X Labs,Linq Hair Care,Self,Self- Www.Beachwatch.Co.Za,Sexy Hair Concepts]",[Business development manager],"[Sales and Marketing Director,Mid West Regional Sales Director,Sales Consultant,Junior Sales Consultant]",Developer,"[Managing Director,Mid West Sales Director]","[Word, Excel, Power Point]",11
11,"[Oracle 10g Database Administrator Oca,Oracle Database Sql Expert,Information Technology,Computer Literacy,Matric]","[Adapt IT,Bauer & Partners,Berea Technical College,Conference Communications,DA House Internet Cafe,South African Revenue Service (SARS),TMT Services]","[Database Developer,Oracle Apex Developer,Database Analyst,Oracle Apex Developer,Database Analyst]","[Technician,Imaging Technician,Technician,Host]",Oracle Apex Developer,"[Call Center Agent,Oracle DBA]","[Oracle Pl/Sql,Database Desing, Implementation And Management,Oracle Sql,Computer Skills (Hardware, Software, Networking),Microsoft Sql Server,Graphic Design,Sound Systems,C#]",12
12,[software development diploma],"[Elcb,Real People]",[Software developer],[],Developer,[Programmer],"[Analitcal skills,Mentoring new developers,Problem sloving,C#,reporting,MS SQL,ssis,Training,Testing,ASP.NET,MVC,JAVASCRIPT,CSS]",13
13,"[Bsc Computer Science And Information Systems,Grade 12]","[Nimbletech,Saab Grintek Defence]","[java programmer,computer science]",[],Junior Java Developer,[Graduate Software Engineer],"[Java Developer,Java Programming(SE & EE),Mysql,Network connectivity,FTP,TCP,css,html,vaadin,jsp,javascript,hibernate,python,C#,jason,ajax,.NET]",14
14,"[BTech Degree - ICT,National Diploma]","[Anglo American Platinum,Gijima,ICT Worx]","[Software Developer,Business Analyst,Business Systems Analyst,Software Architect]",[],Business Analyst,"[Java Developer Intern,Field Support Engineer]","[ASP .NET \uf06c,java,Oracle \uf06c,Gradle \uf06c,Microsoft Office,CSS,Visual paradigm,Microsoft Visio]",15
15,[National Diploma Computer Science & Systems Engineering],"[Emid,KPMG]",[Senior Developer],[],Senior Developer,[Senior Developer],"[Software Development,Data,Project management,Analytics,SQL]",16
16,"[BSc Infomatics,MCSD]","[Carab Tekniva,TV Buddies]","[junior software developer,Intermediate Developer]",[],Junior Digitilization Developer,[Technician],"[Java,VBA,C#,Javascript,Excel,html,MVC,css,.NET,SQL,Python,C++,Rapid Prototyping,Communication,Leadership,Meeting deadlines,Customer servece,PHP]",17
17,"[B.Sc,Senior Certificate]","[Aircom International,Telkom]",[Software Developer],[],Senior Software Developer,[Software Developer],"[SQL,Pl/Sql,Oracle,Pro C,PHP,Unix,Python,Borland C++]",18
18,"[Certified ScrumMaster (CSM),Business Analysis Diploma]","[Accenture,Avanade,BSI Steel,DVT,investec,Private Practice,Standard Bank of (Sbsa)]","[BI Consultant,BI Architect]","[BI Developer,BI Consultant,BI Specialist,Senior Business Process Analyst]",Independent Consultant,"[Microsoft Senior BI Developer,BI Consultant]","[Detailed,quick learner,methodical,analytical,See attached CV]",19
19,"[Project Management,Vb 6 Programming]","[Council for Scientific & Industrial Research (CSIR),Debisit,El-Ozi,Faranani IT Services,Self]",[],"[Technician,Call Center,Consultant,Junior Developer and Technical Support]",Systems and Applications Support Analyst,"[Project Manager,Field Support Technician]","[Microsoft Office,Computer Hardware,Troubleshooting,Configuration Management,Database Administration,Backup,Operating Systems,Problem Solving,Networking,Change Management,Technical Training,Database Design,Business Process,Quality Control,Network Support,Disaster Recovery Planning,Microsoft Windows 2000,Microsoft Office 97,Microsoft Windows 98,Sales Support,Purchasing,Technical Support,Online Research,Call Center,Dispatching,Programming,C + +]",20
20,"[Diploma in Investment Analysis and Portfolio Analysis,ITIL Foundation,Sun Certified Programmer, Std Edition 6.0,Programming In Java (5 Days),12:    Bsc Information Technology (Business Comput,Cobol Fast Track Course (5 Days),Matric Exemption]","[Accenture,Department of Computer Scince(Uct),Devstream / Tradestream - AN RMB Initiative,Falcorp Technologies,FNB,Gijima AST,Standard Bank,University of Cape Town,Veneka]","[Developer,Analyst Programmer,Analyst,Team Lead]","[Technical Consultant,Software Engineer,Analyst Programmer,Trainee Programmer,Computer Science Course Tutor,Computer Science Course Tutor Java Course]",Production Team lead,"[Java Developer,Developer]","[SVN,.NET,SQL,Cobol,jcl,Java,Linux,Jruby,C#,Cics]",21
21,[Bsc Elec Eng (Telecom)],"[Lithotech,Prism]",[Electrical Engineer in Telecommunications],[],Embedded Software Developer,[Research & Development],"[Java,C++,3g/Hspa/Hspa+,Matlab,4g/Lte/Wimax,Project Management,Verilog,Vhdl,Process Design]",22
22,"[Certficate,Bachelor Of Technology : Chemical Engineering]","[Izazi Solutions,South African Port Operations,Toyota Motor Coparation]",[],[],ABAP Consultant,"[ABAP Consultant,ABAP Developer]",[Abap Development Design And Analysis],23
23,"[Marketing Management,Veterinary Nursing - University Diploma,Matric - Passed with university exemption]","[Animal Anti-Cruelty League,Cape Veterinary Hospital,Charlene Hall Photography,Educat Publishers & Future 4 Kids,Farmkor Durbanville Diet Clinic,Intervet SA (Pty) Ltd,Kyron Laboratories,Lux Verbi Publishing,M.E.S. (Mould Empower Serve)', u""PDSA (People's Dispensary for Sick Animals)"", u'Total Veterinary Supplies (Heyns Matthew),Various different veterinary practices]","[Sales Representative,Sales Consultant,Public Relations Officer,Account Executive,Key Account Manager,Practice Manager,Clinic Manager,Manager]","[Photographer,Sales & Marketing Representative,Locum nursing positions,Fundraising Coordinator,Fundraiser & PRO,Veterinary Nurse,Sales Representative and Area Supervisor Western Cape,Sales Representative Western Cape,Telesales Clerk,Locum positions]",Clinic Manageress,"[Agent,Resource Developer (Public Relations Officer and Fundraiser)]","[Pharmaceutical,Practice Management,Clinic Management,Public Relations,Marketing,Key Account Management,Sales,Veterinary,Dietician,Account management]",24
24,"[Togaf Cerfified,Management, Project Management,Compass Development,Oracle Designer,Oracle Database Administration,Oracle Developer,Oracle Pl/Sql,Advanced Oracle Pl/Sql,Unix Administration,Computer Programming,High School Education]","[Alexander Forbes (Technology Division),Bytes Technology Group,Mcgregor BFA,Q Data Dynamique,South African Air Force,South African Revenue Service (SARS),Sungard Insurance Systems]",[Executive/enterprise architecture],"[Solutions Architect,Director New Development Software,Senior Developer R&D,Software Developer]",Senior Manager Database Management,"[Software Architect,Team Development Manager Technical Specialist]","[Presentation Skills,Microsoft Sql Server,Taxation, Financial,Equity,Insurance,Pension/Provident Sys,Management,Visual Basic For Applications (Office Automation),Visual Basic (Ver 2 Through .Net),Systems Integration,Systems Design,Systems Analysis,Resource Planning,Project Management,Microsoft Sql Server T-Sql,Architectures - Ntier, Client Server Etc,Business Analysis,Development (Overall),Asp Web Development,Architectures - Legacy Mainframe Etc,Windows Workstation, Servers,C# .Net,Ibm Db2,Asp.Net,Architectures - .Net Framework,Microsoft Sna/Host Integration Server,Microsoft Biztalk Server,Oracle Rdbms,Microfocus Cobol,Oracle Pl/Sql,Product Quality Assurance,Human Resource And Payroll Systems,Microfocus Dialogue Systems,Oracle,Oracle Pro/Cobol,Oracle Developer 2000,As/400 Os,Dec Vax Openvms,Microsoft Visual C++,Java Programming,Assembler,Oracle Designer 2000,Linux]",25
25,"[Bcom (Information Systems) Incomplete,Microsoft Certified Application Developer .NET,Object Oriented Analysis And Design]","[Bluegrass Technologies,Eduflex.Com,Global Vision Information Technology,Mweb]",[],[Programmer],Developer,"[Internet Developer Web Applications Developer,Internet Developer]","[CSS,Xhtml,Asp.Net,XML,C#,ASP,SQL,XSL,Javascript,Ajax,Vb.Net]",26
26,[B.ENG],[Sterling],"[support,c#,sql,software]",[],Software Developer C#.NET,[],"[BIZTALK,C#,CUSTOMER SERVICE,BI,SSIS,MVC,SQL,SSRS]",27
27,"[Project Management,Java Developer,N.Dip: Engineer]","[Absa,ABSA,Absa Bank,ABSA Group,Barclays Africa,Grintek Telecoms,Momentum]","[Technical Manager,Voice Specialist,Intermediate Java Developer,IVR Developer,Voice,Telecommunication]","[Voice Specialist,System Developer,Voice Specialist,Junior Field Engineer]",Voice Biometrics,"[Java Developer,Manager]","[IVR,Nuance Product,java,communication skills,Voice Loggers,Manager,Avaya PABX,Specialist,Technical Support,Voice,Voice Biometrics,Avaya,Voice Specialist,NICE,Managerial,Nuance Voice Products,Software Design,Java]",28
28,[Nc Multimedia],"[Coca-Cola,(Coca-Cola) Peninsula Beverages,El Shaddia Promotions,Pres LES,TCC]","[Sales Manager,Area Manager,Key Account Manager,Regional Sales Manager,Sales representative]","[Account Developer Still Beverages,Brand Abassador Supervisor]",Sales Manager,"[Promotions Coordinator,FMCG Sales Representative]","[MS word,Power point and MS Excell,MS PROJECTS,Communication,Interpersonal,Managerial,Photoshop,Telephonic Skills and leader ship skills]",29
29,"[Hons Bsc It,Bsc It,Matric]","[Comcorp Online,Entelect,Hewlett Packard,Hollard Insurance,Nedbank]","[Software Developer,.NET Developer,Team Lead,Solutions Architect,Senior Software Engineer]","[Computer Operations and Card Monitoring Clerk,Promotional Sales Marketing and Demonstrations]",Solutions Architect,"[Team Lead,Software Developer]","[Product Owner,solutions architect,Team Lead,sql,asp .NET winforms,.NET,leadership,analysis,architect,Scrum Master,Sql Server Reporting Services,Sql Server 2005,Asp.Net Webforms,Asp.Net Mvc,Wcf Services,Sql,Windows Services,SSIS,WCF,SOA,SSRS,SOAP,Sql Server Integration Services,C#,windows forms]",30
30,"[B Com Hr,Certificate In Wealth Management,Senior Certificate]","[ABSA Brokers,Financial Management International,Liberty Life,Old Mutual Life Assurance,Professional Provident Society,Revolve Personal Advisors,Standard Bank]","[Human resource manager,human resource assistant,Administrator,Operations Manager,Financial Planner,Sales Manager,human resource assistant,Administrator]","[Financial Adviser,Financial Adviser,Learner Broker,Senior Business Developer,Administrative Assistant]",Personal Financial Adviser,"[Member Consultant,Sales Agent]","[Needs Analysis,financial advice,customer services.,Internet,Front Office,spotlight,xplan,Microsoft Office ( Word, Excel, Powerpoint),Various Insurance Companies Quotes Packages,Spotlight,Blueprint Online,Proplanner (Lifeplan)]",31
31,[B.Com Economics],"[Edcon,Edcon (Edgars),J.V. Coll,Liberty,Old Mutual,Sanlam]",[management],"[Financial Adviser,Department Manager,Operation Management Development Programme Trainee,Call Centre Agent Debt Collector]",Business Developer,"[Area Sales Manager,Relationship Manager]","[Mentoring,Presenting.,Team Building,Customer Service,Communication Skills,Analytical Skills,Marketing,Computer Skills]",32
32,"[Attended Leadership Development Program (Nqf 5),2nd Year Bsc,Post Graduate Diploma In Theology,Bachelor Of Divinity,BA Degree,Matric]","[Constraint Technologies International,Digital Healthcare Solutions,Digital Healthcare Solutions (Qedi & Mediswitch),Digital Healthcare Switch,Fujitsu Services,NG Church Goedvertrou,NG Church Mafikeng,NG Church Vaalpark,University of Pretoria]",[Software Developer],"[Team Leader Analyst Programmer,Principal Software Developer,Developer Consultant,Minister and Freelance Software Developer,Minister and Freelance Software Developer,Minister,Senior Computer Operator,Student Computer Operator]",Software Development Specialist,"[Software Development Specialist,Software Development Specialist]","[IATA messaging and SSIM formats,C++,Chairing Meetings,Motivational Skills,Crystal Report Writer 5, 8.5,Visual Basic 6 And Other Versions', u""Xml (Dtd'S, Schema'S)"", u'HTML,PHP,Oracle 7/8/9/10g/11g,Soap development,Budgets,Accounting Up To Balance Sheet,Unix (Sun Solaris),Facilitating,Cobol,Javascript,Windows 10,Linux (fedora/ubuntu),UML]",33
33,"[PROJECT MANAGEMENT PROFFESIONAL,Cobit5 Framework,Sharepoint Server 2013 Advance Solutions,Asp .NET 4.5 Mvc Web Applications,Sharepoint Server 2013 Core Solutions,Html5 With Javascript & Css3,Project Management In It Environment,Bsc Computer Science And Statistics,Grade 12]","[Absa,Mpilonhle,Nedbank,South African Revenue Service (SARS),Umhlathuze Municipality]","[Business Analyst,IT Project Manager,Database Administrator]","[Cyber Cardet,Information Technology Coordinator]",Application Development Manager,"[Alchemy Senior Developer and MI Analyst,Web Developer]","[Cobit 5 Certificartion,SharePoint,MVC,CSS3,ASP.Net,Sharepoint,HTML5,Asp.Net,Css 3,Html 5,Business Analysis(Requrement Developing Functional Specifications Documents),SQL,C#,Project Management,Visual Studio 2008,20010,2012,Qlikview,Asp.Net 4.5 Mvc]",34
34,"[system development level 5,national diploma in information technology (communication networks)]","[communex technologies,i1 Solutions,momentum]",[software developer],[],websphere administrator,"[Java developer,application developer]","[Java EE (restful APIS),java and C#.,Microsoft office advanced word,DB2,ionic framework,GIT,mySQL,firebase,python,2 and 4', u""Java EE (restful API's)"", u'excel,angular 1,html,Linux,PowerPoint and outlook. \r\nProgramming lalanguages:vb .NET,css,IT electronic :assembler language and networks]",35
35,"[MSc. Information Systems Management,Itil Foundation V3,System Architect Certification,Togaf 8 Certified,Oracle Certified Professional,Systems Analysis And Programming,Bsc Electronic Engineering (Incomplete),Senior Certificate]","[Accenture, Edcon Project,Alexander Forbes Technology,ICT Works,Iocore,Liberty Life,Standard Bank,Tangram,T-Systems]","[CIO,Head of IT,Chief Architect,Architect,IT Specialist]","[Group Strategist Business Architect,Enterprise Architect,Independent Consultant,Oracle Consultant,Reports Developer,Consultant]",Head of Information Systems,"[Account Chief Technology Officer SNR Solution Architect,Manager Enterprise Architecture]","[Data,data science,Governance,forensics,architecture,analytics,strategic,Leadership]",36
36,"[Marketing,Business administration and management,Assessors,Profibus networks,instruments,Science]","[Proconics,sasol,Sasol,Sasol]",[Learning and Development Manager or Lead HMI Engineer],[],Senior Technical Trainer,"[Senior training officer,Software Developer]","[managing automation college Africa,training,instrumentation,sales and client relations,software,HMI engineer,automation trainer,client skills,sales and training\n\nPeople skills\n\nAlways getting the best out of people,Sales\nMarketing \nResearch and development\nPeople development]",37
37,"[bsc computer science honours,bsc computer science]","[ABM properties,Littlepig computing consulting,Makana app factory,Soveriegn foods uitenhage,university of Fort Hare]","[software engineer,java developer,SQL]","[Android application development intern,tutor]",software developer intern,"[SQL developer intern,graphic design intern]","[SQL database design and development,networking,software engineering,css,bootstrap and jquery,android programming,proficient in Linux systems such as Ubuntu and Fedora,java,Microsoft office,C++,Javascript,jquery and css,Javascript and bootstrap,Computer networking,java programming,html,SQL,Basic Android programming,C#,database design and managment]",38
38,[Senior Certificate],"[Delco,UIF,Youi Australia]",[Business Developer/Sales/Marketing],[],Business Developer,"[Sales Adviser,S Grade Iii Senior Admin Clerk Senior Administration]","[Sales,Sales and Marketing,A dedication to customer service,Empathy with their client,Long-term relationship-building skills,In-depth knowledge of the market]",39
39,[Cobol Programming],"[In-Depth Data,Mineworx International]",[],[],Developer,[Developer],"[Vbscript,ASP,IIS,Javascript,Microsoft Access,SQL,VB,.Net,Web Services,XML]",40
40,"[Strategic & Tactical Sales,New Business Development,Entrepreneurship & Business Management,Major Account Sales Strategy,Business Negotiation,Consultative Selling (Spin),Small Business Accounting,Entrepreneurship &Small Business Management,Law & Finance]","[Edata,Ideal Hardware PLC (Now Bell Microproducts),Ince,James Franklin Industrial Property Brokers,Malt Whisky to Mexico,RMBT (Now Marriott Merchant Bank)]",[],"[Owner,Partner,Commercial & Industrial Property Broker]",Head of Sales,"[New Business Developer,Account Manager]","[All Microsoft Office Products,Goldmine]",41
41,"[Bachelor Of Arts: Communication Science,Certified Internet Webmaster (Ciw),Web Developer,Matric]","[ABSA Bank,Apron Services,Bytes Technology Group (Outsourced by Saica),DHL International,Fashion World,Jabula Supermarket,Quest,Saica,Standard Bank]","[Communication Manager,Senior Manager,Head of Communications,Content Manager,Communication Manager]","[Editor E-Communications,Member Communications Co-Ordinator,Web Designer Developer,Electronic Information Officer,IT Coordinator,Personal Assistant to the SAICA Board,Regional Personal Assistant,Personal Assistant,Personal Assistant,Cashier,Sales Assistant]",CIB Global Communications Manager,"[Online Communication Manager,Centre of Excellence Manager]","[Content Management,Online Communication,Social Media,Strategy,Crisis Management,Business Intelligence,Project,Business Communications,Brand And Reputation Management,Customer Relations,Project Management,Corporate Communications,Strategic Thinking And Planning: Internal Comms,Writing For Online And Printed Inhouse Publication,Online Advertising,Leadership,Budgeting]",42
42,"[B Soc Sci (Information Technology),Dip It (Programming),Senior Certificate]","[Derivco,Independent Systems,Land Resources International,Leads 2 Business]","[Web Developer,ASP.NET Developer,C# Developer]",[Junior Software Developer],Web Developer,"[Intermediate Web Developer,Software Developer]","[Asp.Net Mvc,Java,ASP,VB,C#,Asp.Net,Jquery,nunit,xunit,Php]",43
43,"[Bachelors Degree,Certificate]","[Pottershouse,UAC,Witveld IT Solutions]",[],[],Senior Programmer Database Administrator,"[Senior .NET Developer,Senior Programmer]","[Networking,Html,Jquery,Java,C#,C++,Javascript,VB.Net,.Net Developer,System Administartor]",44
44,[B.Tech: Information Technology],"[Alacrity,Sebrio Consulting]","[IT Support,database administration,junior java developer,junior tester,data analyst,business intelligence analyst]",[],Java developer intern,[Junior Cach\xe8 developer],"[Microsoft office,team and individual player,Java,tomcat,REST,SQL,jpa,maven and db2,hibernate]",45
45,"[CBAP,Ctt+ Qualification,Project Management Certification,Certiffcation,Certification,Microsoft Certified Technology Specialist,Csharp Certification,Borland Delphi Oop Certicate,Crystal Reports,Delphi 6 Certification,Delphi 8 Introduction,B Tech Computer Systems,It Management / Fucntional Management,Pic Micro Controllers]","[Apbco,Esteq,Exponant, Centurion,Guardrisk,Marion,Standard Bank,Wesbank Head Office]","[Business Analyst,Project Manager,Business Developer,Project Manager,Business Developer]","[Senior Business Systems Analyst,Business Analyst,Dev Coordinator Project Manager Business Developer,Lead Developer Project Analyst,Programmer Developer Analyst]",Manager,"[Director Business Consulting,Senior Business Analyst]","[business analysis,business analysi,CBAP,Programming,Sql Database,Delphi,Business Analysis,Development,Project Management,System Analysis,Communication,Architecture Tools - Uml Bpm Soa Babok Ect.,Itk Development,Sharepoint,It Functional Management]",46
46,[Bsc (Hons) Computer Science],"[Appcore,Izonehub,Multipay,Real People]","[BI Developer,Business Analyst,SQL Developer,SSIS]",[Analyst Developer],Consultant,"[Consultant,Project Manager]","[SSIS,MVC,SSAS,MS SQL Server Data Tools,MS Visio,EXCEL,C#,SQL,github,Javascript,heroku,html5,bootstrap,java,Ruby on rails]",47
47,[Alberton Ho\xebrskool],"[Duraset,Proactive Insight]",[],[],Wage Administrator,[Data Base Developer],"[Microsoft Excel,Microsoft Office,Payday,Power Point,Naivision]",48
48,[Diploma],"[Cryptodyne Private,Globe Computer Systems,Media Solutions Private,Unilink International Private]",[],[Software Developer],Product Manager Team Leader Senior Software En,"[Team Leader Senior Software Engineer,Senior Software Developer]","[Develop & Design Software With Microsoft Vb,Microsoft Office Applications,Opearting Systems,Html, Xml,Design Database With Mssql 2000,Develop Web Pages With Asp,Java Script,Develop & Design Software With Microsoft Vc++,Windows 2000/2003 Servers,Develop Installations With Installshield]",49
49,[B.Sc(Computers)],[soulstice software solutions],"[Java Developer,Intermediate Java Developer,Senior Java Developer]",[],Intermediate Java Developer,[],"[angularjs,jquery,ejb,webservices,mysql,javamail,css,html5,java,java script,jms,j2ee,hibernate,struts,jpa,spring,web services]",50
50,"[Oracle Database 11g Administrator Certified Professional,1z0-007,Pl/Sql Developer Associate,ICDL,Microsoft Certified Professional (Mcp),Network Plus (N+),B.Sc]","[Ict-Works,Medunsa,University of Limpopo,University of Limpopo, Medunsa Campus,University of The North]","[Oracle DBA,Database Administrator,SQL developer]","[SNR Network Operator,Library Network Assistant]",Oracle DBA,"[Oracle DBA,Oracle SQL Developer]","[Oracle VM Server,Databases,PL/SQL,SQL,RMAN,Weblogic Server,UPK,OATS,EBS,Oracle 11g Database Installation, Upgrade And Administration,Rman Backups,Oracle Developer,Oracle 10g Database Installation,Upgrade And Administration,Performance Tuning]",51
51,"[Master In Business Administration,Bachelor In Information Technology (Software Development),National Diploma In Information Technology,Bachelor In Education (Fet) **Only First Year Completed,Matric]","[Batswana Combined School,Bytes Technology Group,Department: National Treasury,Department of Education,Maodi Technologies (Former TCS Hardware & Software),National Treasury,Precipice Trading Enterprise,Right to Care Health Services,Satyam Computer Services,State Information Technology Agency (Sita),Tshwane University of Technology]",[Application Development Manager],"[Senior IT Specialist Systems Developer,Senior IT Specialist Functional Applications Support,Lecturer,Software Engineer Founder,Developer Functional Support,Developer Functional Support,JNR Software Web Developer Technician,Examination Assistant,Educator]",IT Applications Manager,"[Senior Application Developer,Sharepoint Workflow Developer]","[SharePoint,Nintex,Infopath,SharePoint Designer SQL,Presentation,Sdlc,Unit & Functional Testing, Requirements Gathering, Regression Testing, Maintenance,Uml, Dhtml,Css,Sdlc, Iis 6 , C++ Builder 6,Vb.Net,Sql,C#,Html,Xml,Sharepoint,Nintex Workflow,Visual Studio 05/08/2010,Window Server 2003/08/R2,Tomcat 5.5.20,Apache Web Server,Itil V3,Sap, Enovia Matrixone,,Powershell]",52
52,[Senior Certificate],"[Auto Dealer,Be-Mobile,Cell2cell,D6 Technology,E-Bit,Formfunction,Isite,Itouch PLC,Joefox,Media Labs,Medicare EMR,MIH,Myrace,New Media Publishing,Nobrain,Obviously Gone,Offline Digital,Peronii,Piccing,Private,Responsive,South African Government,Worddial]","[Senior Developer,PHP Developer]","[Senior Developer,Senior Developer,Management,cell2cell,Developer,Developer,PHP Developer,Senior Developer,PHP Developer,Systems Architect,PHP Developer,Systems Architect,Systems Architect,Developer,Developer,Developer,Developer,Developer,Systems Engineer,Global Content Web Developer]",Senior PHP Developer,"[Senior PHP Developer,Senior PHP Developer]","[PHP,HTML,Javascript,CSS,MySQL,Architecture Frameworks,SEO,CMS / CRM,Linux,Sybase,WAP,Amazon S3,Python,Perl]",53
53,"[Master In Information Technology,B.Eng Electronic Engineering]","[Advanced Technologies & Engineering,Epi-Use,XN Corporation Africa]",[],[],Senior C++ Development Engineer,"[Software Engineer,Junior Software Developer]","[C++,Sdlc,Visual Studio 6,Borland Builder 5 And 6,Tcp/Ip,MFC,MS Media Player SDK,MS Media Encoder SDK,MS Media Services SDK,Visual Studio.Net,MS Format SDK,Serial Communication,Openh323,Direct X,C#,UML]",54
54,"[B.It,Java Programming Certificate,Senior Certificate]","[AMI Quality Express,JD Internet Consulting,Monotix Information Systems]",[],[],Application Developer,"[Programmer,Junior Programmer]","[Php Development,Database Design,Search Engine Optimisation]",55
55,"[Baan Development,Matric]","[Babcock Borsig Power,Fourway Africa,H & J Wire Industries,L & C Steinmeuller Africa,L & C Steinmueller Africa,Lindsay Saker,Perm Building Society,Steinmueller Africa]",[],"[Systems Developer,Manufacturing Resources Supervisor,Planning & Costing Planner,Programmer,Computer Operations Supervisor,Computer Operator,JNR Computer Operator Shift Leader]",Consultant,"[Baan Systems Group Co-Odinator,Systems Manager]","[Erp Functionality,dos,MS OFFICE SUITE,Development,Training,Sql Programming,Systems Analayst,Unix,Novell,Project Management]",56
56,"[Senior Certificate,Diploma,Senior Certificate]","[Activi Ventury Group,Icss (Independent Computer Systems Services),Ocean Basket,Online Innovations]",[],[Web Developer],Technician,"[HP Engineer & Workship Techinician,Waiter]","[Mcse / A+ / Data Communications,Network +,Web Designing]",57
57,"[ITIL Foundation,Information Technology,Adabas Natural Programming Fundementals,Fundemental Of Project Management,Installing And Configuring Windows 7,Information Technology]","[Business Connecxion,Business Connexion,Liberty,SITA (State Information Technology Agency),Working Technologies]","[Cobol Programmer,System Analyst,Database Administrator]","[Junior Software Developer Intern,Server Support 1ST Line Intern,Junior Java Developer Learnership]",Compass Programmer,"[Software Developer Programmer,Junior Software Developer]","[Xhtml,Mainframe,EGL,PLSQL,Natural,Oracle,plsql,Oracle plsql,Cobol,Natural adabas]",58
